,mark,tag
4982,PRESTON GRANGE,Preston Grange
4983,PRESTON GRANGE,Preston Grange
4984,PRESTON GRANGE,Paver / Stable / Byre Block
4985,PRESTON GRANGE,Preston Grange
4986,PRESTON GRANGE,Preston Grange
4987,PRESTON GRANGE,Preston Grange
4988,PRESTON GRANGE,Preston Grange
4989,PRESTON*GRANGE,Preston Grange
4990,PRESTONGRANGE,Preston Grange
4991,PRESTONGRANGE,Paver / Stable / Byre Block
4992,PRESTONGRANGE,Preston Grange
4993,PRESTONGRANGE,Pugeston
4994,PRESTON GRANGE A,Pugeston
4995,PRESTON GRANGE B,Pugeston
4996,PUGESTON,Atlas
4997,PUGESTON,Fingerprint
4998,PUGESTON,Glenboig
4999,PUGESTON,Preston Grange
5000,P1 ,Klinit
5001,P1 ,P and M Hurll
5002,P1 GLENBOIG,Fingerprint
5003,P1 GLENBOIG,P and M Hurll
5004,P1 GLENBOIG,RB
5005,P/GRANGE,Fingerprint
5006,P/GRANGE,P and M Hurll
5007,P/GRANGE,RB
5008,R,P and M Hurll
5009,R,RB
5010,RB,P and M Hurll
5011,RB,RB
5012,RB,Fingerprint
5013,RB,P and M Hurll
5014,RB,RB
5015,RB,P and M Hurll
5016,RB,RB
5017,RB,P and M Hurll
5018,RB,RB
5019,RB,P and M Hurll
5020,RB,RB
5021,RB,Bank Tileworks
5022,RB,Drongan Pottery
5023,RB,Fort Street
5024,RB,Hole
5025,RB,Robert Boyle
5026,RB 5,Garturk
5027,RB 5,Robert Brand - Coatbridge
5028,RB 5,Rochsolloch
5029,RB 13,Robert Bruce
5030,RB 13,Wardie
5031,R BOYLE,Fingerprint
5032,R BOYLE,R - C
5033,R BOYLE,Reichmann
5034,R BRAND PATENT,Fingerprint
5035,R BRAND PATENT,R - C
5036,R BRAND PATENT,Reichmann
5037,R BRUCE & SON,Manufactured in Scotland and branded for National and Overseas Customers
5038,R BRUCE & SON,P and M Hurll
5039,R BRUCE & SON,R and C
5040,R BRUCE & SON,Reichmann
5041,R   C  ,Manufactured in Scotland and branded for National and Overseas Customers
5042,R   C  ,P and M Hurll
5043,R   C  ,R and C
5044,R   C  ,Reichmann
5045,R   C  ,Manufactured in Scotland and branded for National and Overseas Customers
5046,R   C  ,P and M Hurll
5047,R   C  ,R and C
5048,R   C  ,Reichmann
5049,R & C,Fingerprint
5050,R & C,Manufactured in Scotland and branded for National and Overseas Customers
5051,R & C,P and M Hurll
5052,R & C,R and C
5053,R & C,Reichmann
5054,R & C,Manufactured in Scotland and branded for National and Overseas Customers
5055,R & C,P and M Hurll
5056,R & C,R and C
5057,R & C,Reichmann
5058,R & C ,Newlands
5059,R & C ,Robert Corbet
5060,R & C,Newlands
5061,R & C,Robert Corbet
5062,R & C,Newlands
5063,R & C,Robert Corbet
5064,R CORBET GLASGOW,Calder Fireclay Company
5065,R CORBET GLASGOW,Robert Fleming
5066,R CORBET NO2 GLASGOW,Craigton Brickworks
5067,R CORBET NO2 GLASGOW,Robert Johnston
5068,R CORBET 2 GLASGOW,Provanhall
5069,R CORBET 2 GLASGOW,Reston Mather
5070,R F & CO,Robert McAlpine
5071,R JOHNSTON,Robert McAlpine
5072,R & J MATHER PROVANHALL SHETTLESTON,Robert McAlpine
5073,R MCA & S        ,Robert McKellar
5074,R MCALPINE STONEFIELD,Boot print
5075,R MCALPINE STONEFIELD,Moyes
5076,R MCALPINE & CO STONEFIELD,Blairdardie
5077,R MCALPINE & CO STONEFIELD,R and W Horn
5078,R MCKELLAR GLASGOW,Blairdardie
5079,R MCKELLAR GLASGOW,R and W Horn
5080,R & J MOYES GARTNAVEL,R and W Horn
5081,R & W HORN PATENT,Blairdardie
5082,R & W HORN PATENT,R and W Horn
5083,R & W HORN PATENT,Blairdardie
5084,R & W HORN PATENT,R and W Horn
5085,R & W HORN PATENT,Blairdardie
5086,R & W HORN PATENT,R and W Horn
5087,R & W HORN PATENT,Blairdardie
5088,R & W HORN PATENT,R and W Horn
5089,R & W HORN PATENT GLASGOW,Raeburn
5090,R & W HORN PATENT GLASGOW,Raeburn
5091,R & W HORN YOKER GLASGOW,Raewell
5092,RAEBURN,Baby brick
5093,RAEBURN,Manufactured in Scotland and branded for National and Overseas Customers
5094,RAEBURN,Radun
5095,RAEBURN,Ralston Brickmaking Company
5096,RAEBURN,Robert Morton
5097,RAEBURN,Seedhill
5098,RAEWELL,Ralston Brickmaking Company
5099,RAEWELL,Robert Morton
5100,RAEWELL,Seedhill
5101,RADUN  ,Alexander Frew
5102,RADUN  ,Drumbathie
5103,RADUN  ,Rawyards
5104,RALSTON,Alexander Frew
5105,RALSTON,Drumbathie
5106,RALSTON,Rawyards
5107,RALSTON,Alexander Frew
5108,RALSTON,Drumbathie
5109,RALSTON,Rawyards
5110,RAWYARDS,Alexander Frew
5111,RAWYARDS,Britannia
5112,RAWYARDS,Drumbathie
5113,RAWYARDS,Rawyards
5114,RAWYARDS GLASGOW,John Gilchrist Stein
5115,RAWYARDS GLASGOW,John Gilchrist Stein
5116,RAWYARDS GLASGOW,Avonbridge
5117,RAWYARDS GLASGOW,Redford
5118,RCHH 110 SCR,Cement mix
5119,RCHH 110 SCR,Redland
5120,RCHH 112 SCR ,Redstone
5121,REDFORD,Garnkirk
5122,REDFORD,Glenboig
5123,REDFORD,Regenn
5124,REDFORD,Siemens
5125,REDLAND CALEDONIAN MADE IN SCOTLAND REG DES NO 933610 BS 4737550,France
5126,REDLAND CALEDONIAN MADE IN SCOTLAND REG DES NO 933610 BS 4737550,Manufactured in Scotland and branded for National and Overseas Customers
5127,REDSTON KILWINNING,Emile Duvoisin
5128,REDSTON KILWINNING,Fingerprint
5129,REDSTON KILWINNING,Germany
5130,REDSTON KILWINNING,Manufactured in Scotland and branded for National and Overseas Customers
5131,REDSTON KILWINNING,P and M Hurll
5132,REDSTON KILWINNING,Reichmann
5133,REGENN  ,Lugton and Caldwell
5134,REGENN  ,Reid and Company
5135,REFRACTAIRE  SUPERIEUR  ,Lugton and Caldwell
5136,REFRACTAIRE  SUPERIEUR  ,Reid and Company
5137,REICHMANN GLASGOW,Lugton and Caldwell
5138,REICHMANN GLASGOW,Reid and Company
5139,REID CALDWELL,Lugton and Caldwell
5140,REID CALDWELL,Reid and Company
5141,REID LUGTON,Foreign bricks found in Scotland
5142,REID LUGTON,Reliance
5143,REID LUGTON,USA
5144,REID LUGTON,Glenboig
5145,REID LUGTON,John Gilchrist Stein
5146,REID LUGTON,Nettle
5147,REID LUGTON,Roaster
5148,RELIANCE  ,John Gilchrist Stein
5149,RELIANCE  ,Nettle
5150,RELIANCE  ,Roaster
5151,RK 117 GLENBOIG 27,John Gilchrist Stein
5152,RK 117 GLENBOIG 27,Roaster
5153,ROASTER NETTLE 2,Robert Bell
5154,ROASTER NETTLE 2,Wishaw Collieries and Brickworks
5155,ROASTER 12,Garturk
5156,ROASTER 12,Robert Brand - Coatbridge
5157,ROASTER 12,Rochsolloch
5158,ROASTER 12 Y,Robert Brown
5159,ROBERT BELL WISHAW,Robert Brown
5160,ROBERT BRAND COATBRIDGE,Robert Brown
5161,ROBERT BROWN & SON PAISLEY,Robert Brown
5162,ROBERT BROWN & SON PAISLEY,Robert Brown
5163,ROBERT BROWN & SON PAISLEY,Robert Brown
5164,ROBERT BROWN & SON PAISLEY,Robert Brown
5165,ROBERT BROWN & SON PAISLEY,Robert Brown
5166,ROBERT BROWN & SON LIMITED PAISLEY,Robert Brown
5167,ROBERT BROWN & SON LTD PAISLEY,William Gilchrist
5168,ROBERT BROWN & SON LTD PAISLEY,Robroyston
5169,ROBERT BROWN & SON LTD PAISLEY,Robroyston
5170,ROBERT GILCHRIST PATENT GLASGOW,Robroyston
5171,ROBROYSTON,Rosehall
5172,ROBROYSTON,Roslin
5173,ROBROYSTON,Roslin
5174,ROSEHALL,National Coal Board
5175,ROSEHALL,Roslin
5176,ROSLIN,Rosyth
5177,ROSLIN,Roughcastle
5178,ROSLIN NCB,Robroyston
5179,ROSYTH,Renny-Tailyour
5180,ROUGHCASTLE,Robert Brown
5181,ROUGHCASTLE,Tool Mark
5182,ROYSTON,John Gilchrist Stein
5183,RT,Buccleuch
5184,RT,Sanquhar
5185,RT,Sanquhar and Kirkconnel
5186,RT BROWN & SON PAISLEY ,Buccleuch
5187,RT BROWN & SON PAISLEY ,Sanquhar
5188,RT BROWN & SON PAISLEY ,Sanquhar and Kirkconnel
5189,RVK 476        ,Buccleuch
5190,RVK 476        ,Sanquhar
5191,RVK 476        ,Sanquhar and Kirkconnel
5192,S & K C SANQUHAR,Fauldhead
5193,S & K C SANQUHAR,Sanquhar
5194,S & K C SANQUHAR,Sanquhar and Kirkconnel
5195,S & K C LD,Buccleuch
5196,S & K C LD,Sanquhar
5197,S & K C LD,Sanquhar and Kirkconnel
5198,S & K C LD SANQUHAR NB,Buccleuch
5199,S & K C LD SANQUHAR NB,Sanquhar
5200,S & K C LD SANQUHAR NB,Sanquhar and Kirkconnel
5201,S & K CO LTD KIRKCONNEL,Buccleuch
5202,S & K CO LTD KIRKCONNEL,Sanquhar
5203,S & K CO LTD KIRKCONNEL,Sanquhar and Kirkconnel
5204,S & K C LTD SANQUHAR,Buccleuch
5205,S & K C LTD SANQUHAR,Sanquhar
5206,S & K C LTD SANQUHAR,Sanquhar and Kirkconnel
5207,S & K C LTD SANQUHAR,Fauldhead
5208,S & K C LTD SANQUHAR,Sanquhar
5209,S & K C LTD SANQUHAR,Sanquhar and Kirkconnel
5210,S & K C BUCCLEUCH ,Buccleuch
5211,S & K C BUCCLEUCH ,Sanquhar and Kirkconnel
5212,S & K CO BUCCLEUCH,Buccleuch
5213,S & K CO BUCCLEUCH,Sanquhar
5214,S & K CO BUCCLEUCH,Sanquhar and Kirkconnel
5215,S & K CO LTD,Buccleuch
5216,S & K CO LTD,Sanquhar
5217,S & K CO LTD,Sanquhar and Kirkconnel
5218,S & K CO LTD BUCCLEUCH,Buccleuch
5219,S & K CO LTD BUCCLEUCH,Sanquhar
5220,S & K CO LTD BUCCLEUCH,Sanquhar and Kirkconnel
5221,S & K CO LTD BUCCLEUCH,Kirkconnel
5222,S & K CO LTD BUCCLEUCH,Sanquhar
5223,S & K CO LTD SANQUHAR,Glenboig
5224,S & K CO LTD SANQUHAR,Glenboig
5225,S & K CO LTD SANQUHAR,Southhook Fireclay Works
5226,S GLENBOIG,Southhook Fireclay Works
5227,S GLENBOIG GE 362,Southhook Fireclay Works
5228,S S,Baby brick
5229,S S,Smith and Wellstood
5230,S SOUTHHOOK KILMARNOCK,Castlecary Fireclay Company - Weir
5231,S SOUTHHOOK KILMARNOCK,Craigend Refractories
5232,S SOUTHHOOK KILMARNOCK,Manufactured in Scotland and branded for National and Overseas Customers
5233,S SOUTHHOOK KILMARNOCK,Sankey
5234,S SOUTHHOOK S KILMARNOCK,Castlecary Fireclay Company - Weir
5235,S SOUTHHOOK S KILMARNOCK,Craigend Refractories
5236,S SOUTHHOOK S KILMARNOCK,Manufactured in Scotland and branded for National and Overseas Customers
5237,S SOUTHHOOK S KILMARNOCK,Sankey
5238,S & W,Castlecary Fireclay Company - Weir
5239,S & W,Manufactured in Scotland and branded for National and Overseas Customers
5240,S & W,Sankey
5241,SANKEY,Castlecary Fireclay Company - Weir
5242,SANKEY,Manufactured in Scotland and branded for National and Overseas Customers
5243,SANKEY,Sankey
5244,SANKEY ALUMA,Castlecary Fireclay Company - Weir
5245,SANKEY ALUMA,Manufactured in Scotland and branded for National and Overseas Customers
5246,SANKEY ALUMA,Sankey
5247,SANKEY BM SCOTCH B ,Castlecary Fireclay Company - Weir
5248,SANKEY BM SCOTCH B ,Manufactured in Scotland and branded for National and Overseas Customers
5249,SANKEY BM SCOTCH B ,Sankey
5250,SANKEY BM SCOTCH PC 1,Castlecary Fireclay Company - Weir
5251,SANKEY BM SCOTCH PC 1,Manufactured in Scotland and branded for National and Overseas Customers
5252,SANKEY BM SCOTCH PC 1,Sankey
5253,SANKEY BM SCOTCH,Baby brick
5254,SANKEY BM SCOTCH,Buccleuch
5255,SANKEY BM SCOTCH,Sanquhar
5256,SANKEY BM SCOTCH,Buccleuch
5257,SANKEY BM SCOTCH,Sanquhar
5258,SANKEY BM SCOTCH,Sanquhar
5259,Null,Null
5260,SANQUHAR,Preston Grange
5261,SANQUHAR,Scottish Brick Corporation
5262,SB & Co LARBERT,Scottish Brick Corporation
5263,S PRESTON GRANGE,Scottish Brick Corporation
5264,SBC,Scottish Brick Corporation
5265,SBC,Scottish Brick Corporation
5266,SBC,Scottish Brick Corporation
5267,SBC,Scottish Brick Corporation
5268,SBC,Scottish Brick Corporation
5269,SBC,Niddrie Brick Works
5270,SBC,Scottish Brick Corporation
5271,SBC,Scottish Brick Corporation
5272,SBC,Scottish Brick Corporation
5273,SBC,Scottish Brick Corporation
5274,SBC,Scottish Brick Corporation
5275,SBC,Scottish Brick Corporation
5276,SBC,Scottish Brick Corporation
5277,SBC,Scottish Brick Corporation
5278,SBC,Scottish Brick Corporation
5279,SBC,Scottish Brick Corporation
5280,SBC,Scottish Brick Corporation
5281,SBC,Scottish Brick Corporation
5282,SBC,Scottish Brick Corporation
5283,SBC,Scottish Brick Corporation
5284,SBC,Scottish Brick Corporation
5285,SBC,Barbauchlaw
5286,SBC,Scottish Brick Corporation
5287,SBC,Preston Grange
5288,SBC,Scottish Brick Corporation
5289,SBC,John Gilchrist Stein
5290,SBC,Nettle
5291,SBC BAR LAW,Eglinton Silica Brick Company
5292,SBC BAR LAW,Scotch Steel
5293,SBC P GRANGE,Eglinton Silica Brick Company
5294,SBC P GRANGE,Scotch Steel
5295,SC CB2 ND,Scotch Steel
5296,SCOTCH STEEL,Eglinton Silica Brick Company
5297,SCOTCH STEEL,Scotch Steel
5298,SCOTCH STEEL,Eglinton Silica Brick Company
5299,SCOTCH STEEL,Scotch Steel
5300,SCOTCH STEEL,MAC
5301,SCOTCH STEEL,Scotia
5302,SCOTCH STEEL 2,MAC
5303,SCOTCH STEEL 2,Scotia
5304,SCOTCH STEEL 45,MAC
5305,SCOTCH STEEL 45,Scotia
5306,SCOTIA       ,Gartcraig
5307,SCOTIA       ,Lee
5308,SCOTIA       ,Scottish Terracotta
5309,SCOTIA FW & CO  ,Lee
5310,SCOTIA FW & CO  ,Scottish Terracotta
5311,SCOTLAND GARTCRAIG,Lee
5312,SCOTLAND GARTCRAIG,Scottish Terracotta
5313,SCOTTISH TERRACOTTA CO,Dyson Refractories
5314,SCOTTISH TERRACOTTA CO,James Dougall
5315,SCOTTISH TERRACOTTA CO,Dyson Refractories
5316,SCOTTISH TERRACOTTA CO,James Dougall
5317,SCOTTISH TERRA COTTA AND METALLIC BRICK CO LD BRAIDWOOD,Dyson Refractories
5318,SCOTTISH TERRA COTTA AND METALLIC BRICK CO LD BRAIDWOOD,James Dougall
5319,SDR,Seafield St Andrews
5320,SDS,Kincaple
5321,SDS,Seafield St Andrews
5322,SDX,Seaton
5323,(SEA)FIELD ,Seaton
5324,SEAFIELD,Seaton
5325,SEATON CO ABERDEEN 5,Seaton
5326,SEATON CO ABERDEEN 8,Seaton
5327,SEATON COY ABERDEEN 20,Seaton
5328,SEATON CO LIMITED ABERDEEN,Seggie
5329,SEATON COY LIMITED ABERDEEN,allen
5330,SEATON COY LIMITED ABERDEEN,General Refractories
5331,SEATON COY LIMITED ABERDEEN,Hepworth
5332,SEATON COY LIMITED ABERDEEN,John Gilchrist Stein
5333,SEATON COY LIMITED ABERDEEN,Selfrac
5334,SEATON COY LIMITED ABERDEEN,Shawsrigg Fire Clay and Enamelling Co
5335,SEGGIE,Shawsrigg Fire Clay and Enamelling Co
5336,SELFRAC,Shawsrigg Fire Clay and Enamelling Co
5337,SELFRAC,Speirs and Gibb
5338,SHAWSRIGG FIRE CLAY E CO LD GLASGOW,J and R Howie
5339,SHAWSRIGG FIRE CLAY E CO LD GLASGOW,Roof Ventilator
5340,SHAWSRIGG FIRE CLAY ENL CO LD GLASGOW,Shotts
5341,SHAWSRIGG GLASGOW,Shotts
5342,SHORT HORN,Shotts
5343,SHOTTS,Shotts
5344,SHOTTS,Shotts
5345,SHOTTS,Shotts
5346,SHOTTS,Scottish Industrial Brickmaking and Building Company Limited
5347,SHOTTS,SIB - M and B
5348,SHOTTS,Scottish Industrial Brickmaking and Building Company Limited
5349,SHOTTS,SIB - M and B
5350,SHOTTS R,James Dougall
5351,SHOTTS R,Sicardo
5352,SIB   M & B CO LIMED PATENT GLASGOW,Wemyss
5353,SIB   M & B CO LIMED PATENT GLASGOW,Pitfour
5354,SIB   M & B CO LIMED PATENT GLASGOW,Robert Small
5355,SICARDO,Pitfour
5356,SICARDO,Robert Small
5357,SLW       ,Smeaton
5358,SMALL & CO DUNDEE PITFOUR,Scottish Oils Limited
5359,SMALL & CO PITFOUR,Scottish Oils Limited
5360,SMEATON,British Steel
5361,SOL,Souterhouse
5362,SOL,Souterhouse
5363,SON       ,Souterhouse
5364,SOUTERHOUSE,Southhook Fireclay Works
5365,SOUTERHOUSE,Southhook Fireclay Works
5366,SOUTERHOUSE,Southhook Fireclay Works
5367,SOUTHHOOK,Southhook Fireclay Works
5368,SOUTHHOOK,Southhook Fireclay Works
5369,SOUTHHOOK,Shawsrigg Fire Clay and Enamelling Co
5370,SOUTHHOOK,Southhook Fireclay Works
5371,SOUTHHOOK,crosshouse
5372,SOUTHHOOK,Shawsrigg Fire Clay and Enamelling Co
5373,SOUTHHOOK,Southhook Fireclay Works
5374,SOUTHHOOK,Shawsrigg Fire Clay and Enamelling Co
5375,SOUTHHOOK,Southhook Fireclay Works
5376,SOUTHHOOK AND SHAWSRIGG,Bonnyton Fireclay Works
5377,SOUTHHOOK AND SHAWSRIGG,Southhook Fireclay Works
5378,SOUTHHOOK AND SHAWSRIGG,Wall Coping
5379,SOUTHHOOK AND SHAWSRIGG   SOUTHHOOK CROSSHOUSE KILMARNOCK,crosshouse
5380,SOUTHHOOK AND SHAWSRIGG   SOUTHHOOK CROSSHOUSE KILMARNOCK,Southhook Fireclay Works
5381,SOUTHHOOK AND SHAWSRIGG KILMARNOCK SCOTLAND NB,crosshouse
5382,SOUTHHOOK AND SHAWSRIGG KILMARNOCK SCOTLAND NB,Southhook Fireclay Works
5383,SOUTHHOOK BONNYTON KILMARNOCK,Southhook Fireclay Works
5384,SOUTHHOOK CROSSHOUSE KILMARNOCK N.B,Southhook Fireclay Works
5385,SOUTHHOOK CROSSHOUSE KILMARNOCK N.B,Southhook Fireclay Works
5386,SOUTHHOOK CROSSHOUSE KILMARNOCK N.B,Southhook Fireclay Works
5387,SOUTHHOOK CROSS HOUSE KILMARNOCK N.B   KILMARNOCK,Southhook Fireclay Works
5388,SOUTHHOOK CROSSHOUSE KILMARNOCK N.B S S,Southhook Fireclay Works
5389,SOUTHHOOK KILMARNOCK,Southhook Fireclay Works
5390,SOUTHHOOK KILMARNOCK,Southhook Fireclay Works
5391,SOUTHHOOK KILMARNOCK,Electric
5392,SOUTHHOOK KILMARNOCK,Southhook Fireclay Works
5393,SOUTHHOOK KILMARNOCK,Southhook Fireclay Works
5394,SOUTHHOOK KILMARNOCK,Southhook Fireclay Works
5395,SOUTHHOOK KILMARNOCK H,Southhook Fireclay Works
5396,SOUTHHOOK KILMARNOCK NB,Bonnyton Fireclay Works
5397,SOUTHHOOK KILMARNOCK NB,Brick stamp
5398,SOUTHHOOK KILMARNOCK NB,Clay mine
5399,SOUTHHOOK KILMARNOCK NB,John McKnight
5400,SOUTHHOOK KILMARNOCK NB,Memorabilia
5401,SOUTHHOOK KILMARNOCK NB,Pottery
5402,SOUTHHOOK KILMARNOCK NB,Shanks
5403,SOUTHHOOK KILMARNOCK NB,Shawsrigg Fire Clay and Enamelling Co
5404,SOUTHHOOK KILMARNOCK NB,Southhook Fireclay Works
5405,SOUTHHOOK KILMARNOCK SOUTHHOOK,Shanks
5406,SOUTHHOOK KILMARNOCK SOUTHHOOK,Southhook Fireclay Works
5407,SOUTHHOOK KILMARNOCK XS,Southhook Fireclay Works
5408,SOUTHHOOK MADE IN BRITAIN,Southhook Fireclay Works
5409,SOUTHHOOK POTTERIES LTD,Southhook Fireclay Works
5410,SOUTHHOOK X KILMARNOCK,Southhook Fireclay Works
5411,SOUTHHOOK X KILMARNOCK,Southhook Fireclay Works
5412,SOUTHHOOK + KILMARNOCK,Gartcraig
5413,SOUTHHOOK KILMARNOCK 3 S SOUTHHOOK L,Caledonia Fireclay Works
5414,SOUTHHOOK KILMARNOCK 3 S SOUTHHOOK L,Speirs and Gibb
5415,SP LTD  ,Caledonia Fireclay Works
5416,SP LTD  ,Speirs and Gibb
5417,SPECIAL 3,Caledonia Fireclay Works
5418,SPECIAL 3,Speirs and Gibb
5419,SPEIRS GIBB & CO CALEDONIA WORKS PAISLEY,Caledonia Fireclay Works
5420,SPEIRS GIBB & CO CALEDONIA WORKS PAISLEY,Speirs and Gibb
5421,SPEIRS GIBB & CO PAISLEY,Caledonia Fireclay Works
5422,SPEIRS GIBB & CO PAISLEY,Speirs and Gibb
5423,SPEIRS GIBB & CO PAISLEY,Caledonia Fireclay Works
5424,SPEIRS GIBB & CO PAISLEY,Speirs and Gibb
5425,SPEIRS GIBB & CO PAISLEY   CALEDONIA,Caledonia Fireclay Works
5426,SPEIRS GIBB & CO PAISLEY   CALEDONIA,Speirs and Gibb
5427,SPEIRS GIBB & CO PAISLEY   CALEDONIA,Caledonia Fireclay Works
5428,SPEIRS GIBB & CO PAISLEY   CALEDONIA,Speirs and Gibb
5429,SPEIRS GIBB & CO PAISLEY    CALEDONIA,Caledonia Fireclay Works
5430,SPEIRS GIBB & CO PAISLEY    CALEDONIA,Speirs and Gibb
5431,SPEIRS GIBB & CO PAISLEY    CALEDONIA,Speirs Gibb and Young
5432,SPEIRS GIBB & CO PAISLEY    CALEDONIA,John Gilchrist Stein
5433,SPEIRS GIBB & CO PAISLEY    CALEDONIA,Spinella
5434,SPEIRS GIBB & YOUNG CALEDONIA WORKS PAISLEY,John Gilchrist Stein
5435,SPEIRS GIBB & YOUNG CALEDONIA WORKS PAISLEY,Spinella
5436,SPEIRS GIBB & YOUNG CALEDONIA WORKS PAISLEY,John Gilchrist Stein
5437,SPEIRS GIBB & YOUNG CALEDONIA WORKS PAISLEY,Spinella
5438,SPIN MC,John Gilchrist Stein
5439,SPIN MC,Spinella
5440,SPIN MC 1,General Refractories
5441,SPIN MC 1,John Gilchrist Stein
5442,SPIN MC 1,Spinella
5443,SPIN MC 2,Southhook Fireclay Works
5444,SPIN MC 2,trough
5445,SPIN MC 3,Detrick
5446,SPIN MC 3,John Gilchrist Stein
5447,SPINELLA ,Dyson Refractories
5448,SPINELLA ,James Dougall
5449,SPK 15 11 62,John Gilchrist Stein
5450,SR  ,stanrigg
5451,SR  ,United Collieries
5452,SR  ,William Black
5453,SSX 135        ,stanrigg
5454,SSX 135        ,United Collieries
5455,SSX 135        ,William Black
5456,ST 6   Unidentifiedbrickworks    ,stanrigg
5457,STANRIGG,Glenboig
5458,STANRIGG,Starworks
5459,STANRIGG,Glenboig
5460,STANRIGG,Starworks
5461,STANRIGG,Glenboig
5462,STANRIGG,Starworks
5463,STARWORKS GLENBOIG,Glenboig
5464,STARWORKS GLENBOIG,Starworks
5465,STARWORKS JD GLENBOIG,Glenboig
5466,STARWORKS JD GLENBOIG,Starworks
5467,STARWORKS JD GLENBOIG B,Glenboig
5468,STARWORKS JD GLENBOIG B,Starworks
5469,STARWORKS JD GLENBOIG B1,Glenboig
5470,STARWORKS JD GLENBOIG B1,Starworks
5471,STARWORKS JD GLENBOIG C,GIPR
5472,STARWORKS JD GLENBOIG C,Glenboig
5473,STARWORKS JD GLENBOIG C,Manufactured in Scotland and branded for National and Overseas Customers
5474,STARWORKS JD GLENBOIG C,Railway Related
5475,STARWORKS JD GLENBOIG C,Starworks
5476,STARWORKS JD GLENBOIG C,Glenboig
5477,STARWORKS JD GLENBOIG C,Starworks
5478,STARWORKS JD GLENBOIG D,Glenboig
5479,STARWORKS JD GLENBOIG D,Starworks
5480,STARWORKS JD GLENBOIG GIPR,Glenboig
5481,STARWORKS JD GLENBOIG GIPR,Starworks
5482,STARWORKS JD GLENBOIG R,Glenboig
5483,STARWORKS JD GLENBOIG R,Starworks
5484,STARWORK JD GLENBOIG X,Fingerprint
5485,STARWORK JD GLENBOIG X,Glenboig
5486,STARWORK JD GLENBOIG X,Starworks
5487,STARWORKS JD GLENBOIG 4,Fingerprint
5488,STARWORKS JD GLENBOIG 4,Glenboig
5489,STARWORKS JD GLENBOIG 4,Starworks
5490,STARWORKS JD GLENBOIG 6,Glenboig
5491,STARWORKS JD GLENBOIG 6,Starworks
5492,STARWORKS J*D GLENBOIG,Glenboig
5493,STARWORKS J*D GLENBOIG,Starworks
5494,STARWORKS J*D GLENBOIG,Glenboig
5495,STARWORKS J*D GLENBOIG,Starworks
5496,STARWORKS J*D GLENBOIG,Glenboig
5497,STARWORKS J*D GLENBOIG,Starworks
5498,STARWORKS J*D GLENBOIG A,Glenboig
5499,STARWORKS J*D GLENBOIG A,Starworks
5500,STARWORKS J*D GLENBOIG C,Glenboig
5501,STARWORKS J*D GLENBOIG C,Starworks
5502,STARWORKS J*D GLENBOIG D,Glenboig
5503,STARWORKS J*D GLENBOIG D,Starworks
5504,STARWORKS J*D GLENBOIG D1,Glenboig
5505,STARWORKS J*D GLENBOIG D1,Starworks
5506,STARWORKS J*D GLENBOIG E,Glenboig
5507,STARWORKS J*D GLENBOIG E,Starworks
5508,STARWORKS J*D GLENBOIG J,Glenboig
5509,STARWORKS J*D GLENBOIG J,Starworks
5510,STARWORKS J*D GLENBOIG W,Glenboig
5511,STARWORKS J*D GLENBOIG W,Starworks
5512,STARWORKS J*D GLENBOIG X,Glenboig
5513,STARWORKS J*D GLENBOIG X,Starworks
5514,STARWORKS J*D GLENBOIG 1,Glenboig
5515,STARWORKS J*D GLENBOIG 1,Starworks
5516,STARWORKS J*D GLENBOIG 1 ‘ARROW’,Glenboig
5517,STARWORKS J*D GLENBOIG 1 ‘ARROW’,Starworks
5518,STARWORKS J*D GLENBOIG 21 A,Niddrie Fireclay Works
5519,STARWORKS J*D GLENBOIG 21 A,Sanitaryware
5520,STARWORKS J*D GLENBOIG 21 A,Steele
5521,STARWORKS J*D GLENBOIG 24,Niddrie Fireclay Works
5522,STARWORKS J*D GLENBOIG 24,Sanitaryware
5523,STARWORKS J*D GLENBOIG 24,Steele
5524,STARWORKS J*D GLENBOIG *,CORED
5525,STARWORKS J*D GLENBOIG *,Steetley
5526,STEEL BROS,Baby brick
5527,STEEL BROS,John Gilchrist Stein
5528,STEELE EDINBURGH,John Gilchrist Stein
5529,STEETLEY BRICKS,John Gilchrist Stein
5530,STEIN,Fingerprint
5531,STEIN,John Gilchrist Stein
5532,STEIN,John Gilchrist Stein
5533,STEIN,John Gilchrist Stein
5534,STEIN,Fingerprint
5535,STEIN,John Gilchrist Stein
5536,STEIN A,John Gilchrist Stein
5537,STEIN B,John Gilchrist Stein
5538,STEIN BONNYBRIDGE,John Gilchrist Stein
5539,STEIN C,Contex
5540,STEIN C,steel-clad
5541,STEIN C3,John Gilchrist Stein
5542,STEIN CK 2,John Gilchrist Stein
5543,STEIN CONTEX,John Gilchrist Stein
5544,STEIN CONTEX,Stein Glasgow
5545,STEIN ENG,John Gilchrist Stein
5546,STEIN ENG,Stein Glasgow
5547,STEIN G,John Gilchrist Stein
5548,STEIN G,Stein Glasgow
5549,STEIN GLASGOW,John Gilchrist Stein
5550,STEIN GLASGOW,Stein Glasgow
5551,STEIN GLASGOW,John Gilchrist Stein
5552,STEIN GLASGOW,Stein Glasgow
5553,STEIN GLASGOW C,John Gilchrist Stein
5554,STEIN GLASGOW C,Stein Glasgow
